"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg","Maths_points_jittered"
3512000,7,"Male",55,55,114,9,8,3,10,6,3,17000,0,0,1,1,2,7,0,-0.451414508421461,-0.00228635196560979,-0.148730562806059,1.64092722406997,-0.627113793110829,-0.115491255813362,-0.335856952280232,0.822153153975318,2.10601675752112,-0.726143622596442,2,1,"High Risk",0.0488771466314399,"Non-Resilient",1,4,0,1,0,1,1,0,6.90503727667965
3514000,8,"Male",55,65,95,3,10,9,5,3,2,13000,0,0,0,7,0,1,5,-0.451414508421461,0.44166012797743,-1.20247098953657,-0.778359178113134,-1.36023260338257,-0.532285658786562,2.97117665326713,-0.779839558814468,-0.608017205368183,2.91226261767636,2,2,"High Risk",0.211889035667107,"Non-Resilient",1,3,1,0,1,0,1,0,8.06481209304184
3515000,12,"Male",95,80,140,10,9,10,9,4,1,15000,0,0,1,0,1,0,1,1.37369056924592,1.10757984789199,1.29323002114096,0.0280696226145673,-2.09335141365432,-0.323888457299962,-0.887029219871459,0.021156797580425,-1.06035619918307,0.00153762545811847,0,2,"Low Risk",0.950330250990753,"Not Applicable",1,3,1,0,0,1,1,0,12.0022862800397
3517000,11,"Male",85,65,140,10,10,7,7,6,3,11000,0,0,1,0,0,3,3,0.917414299829076,0.44166012797743,1.29323002114096,1.64092722406997,-0.627113793110829,-0.740682860273162,-0.887029219871459,-0.779839558814468,0.296660782261584,1.45690012156724,1,2,"Low Risk",0.820079260237781,"Not Applicable",1,2,1,0,0,1,1,0,11.0533415330108
3518000,11,"Male",85,90,129,5,10,9,6,4,5,20000,0,0,0,5,0,1,4,0.917414299829076,1.55152632783503,0.683169774086452,0.0280696226145673,0.839123827432658,0.197104546416538,1.86883211808467,-0.779839558814468,-0.608017205368183,2.1845813696218,2,2,"High Risk",0.867899603698811,"Resilient",1,4,0,1,0,1,0,1,11.0876009001862
3520000,11,"Male",90,100,129,10,10,9,8,3,5,15000,0,0,0,0,0,1,2,1.1455524345375,1.99547280777807,0.683169774086452,-0.778359178113134,0.839123827432658,-0.323888457299962,-0.887029219871459,-0.779839558814468,-0.608017205368183,0.729218873512679,1,3,"Low Risk",0.755350066050198,"Not Applicable",1,3,1,0,1,0,0,1,11.0083922005259
3523000,10,"Male",55,55,121,9,10,10,9,5,3,15000,0,0,0,1,0,0,1,-0.451414508421461,-0.00228635196560979,0.239489594410446,0.834498423342269,-0.627113793110829,-0.323888457299962,-0.335856952280232,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,2,"Low Risk",0.581241743725231,"Not Applicable",1,3,1,0,0,1,1,0,10.0897875533905
3526000,10,"Male",80,65,129,8,9,9,8,4,4,8000,1,0,1,2,1,1,2,0.689276165120653,0.44166012797743,0.683169774086452,0.0280696226145673,0.106005017160914,-1.05327866250306,0.215315315310994,0.021156797580425,-0.608017205368183,0.729218873512679,1,1,"Moderate Risk",0.435402906208719,"Non-Resilient",1,1,1,0,0,1,0,1,9.96338893338107
3527000,11,"Male",90,50,129,9,9,8,9,5,3,42000,0,0,1,1,1,2,1,1.1455524345375,-0.22425959193713,0.683169774086452,0.834498423342269,-0.627113793110829,2.48947376276914,-0.335856952280232,0.021156797580425,-0.1556782115533,0.00153762545811847,0,0,"Moderate Risk",0.680052840158521,"Resilient",1,5,0,1,0,1,1,0,10.9573587275576
3528000,11,"Male",80,90,124,10,10,10,9,4,3,58000,0,0,1,0,0,0,1,0.689276165120653,1.55152632783503,0.405869661788948,0.0280696226145673,-0.627113793110829,4.15665137466194,-0.887029219871459,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,3,"Low Risk",0.87556142668428,"Not Applicable",1,5,0,1,0,1,1,0,11.0936761249788
