"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
3474000,9,55,50,95,9,10,10,8,3,4,2,0,0,0,1,46,17,2,9,8,9,10,7,3,3,3,0,0,0,1,-0.721144967941786,-0.570816711423029
3475000,11,90,50,129,10,10,10,10,5,6,5,0,1,1,1,102,30,3,11,10,9,9,10,5,6,5,0,1,1,1,0.615505087650072,1.02252665730772
3479000,9,80,40,117,8,7,5,10,5,4,2,0,0,0,1,35,35,3,9,9,7,2,10,5,3,3,0,0,0,1,-0.721144967941786,-0.883794873137997
3486000,7,50,45,129,10,8,8,9,3,6,4,0,0,1,1,28,15,3,8,10,8,7,10,3,5,5,0,0,1,1,-2.05779502353364,-1.08296279422934
3497000,11,95,75,117,7,9,9,9,4,3,3,0,0,1,1,50,27,4,13,6,8,7,8,4,3,1,0,0,0,1,0.615505087650072,-0.457006470799405
3499000,10,70,75,124,10,9,8,10,3,4,4,0,0,0,1,95,20,3,7,9,7,7,9,3,4,4,0,0,0,1,-0.0528199401458571,0.823358736216373
3501000,10,65,85,124,7,8,0,10,3,2,4,0,0,0,1,81,23,4,5,8,8,3,9,3,2,4,0,0,0,1,-0.0528199401458571,0.425022894033687
3502000,12,100,95,131,10,10,10,10,5,3,5,0,0,0,1,113,24,4,17,10,9,8,8,5,3,5,0,0,0,1,1.283830115446,1.33550481902268
3507000,12,90,65,154,10,10,10,9,3,6,4,0,0,0,1,115,26,4,16,10,9,10,9,3,6,4,0,0,0,1,1.283830115446,1.3924099393345
3512000,7,55,55,114,9,8,3,10,6,3,4,0,0,1,1,50,28,4,8,6,9,5,9,6,3,3,0,0,1,1,-2.05779502353364,-0.457006470799405
3518000,11,85,90,129,5,10,9,6,4,5,4,0,0,0,1,102,22,3,14,6,8,8,6,4,5,5,0,0,0,1,0.615505087650072,1.02252665730772
3520000,11,90,100,129,10,10,9,8,3,5,3,0,0,0,1,113,26,4,13,10,8,8,10,3,5,3,0,0,0,1,0.615505087650072,1.33550481902268
3523000,10,55,55,121,9,10,10,9,5,3,3,0,0,0,1,75,21,3,7,10,9,7,9,4,3,4,0,0,0,1,-0.0528199401458571,0.25430753309825
3527000,11,90,50,129,9,9,8,9,5,3,5,0,0,1,1,125,21,4,13,10,9,10,9,5,3,5,0,0,1,1,0.615505087650072,1.67693554089356
3534000,10,15,40,117,7,6,10,10,4,2,3,0,0,1,1,45,15,0,2,8,9,10,7,3,2,3,0,0,1,1,-0.0528199401458571,-0.599269271578936
3541000,11,85,60,110,10,10,7,9,6,5,5,0,0,0,1,85,13,4,11,10,9,8,5,6,5,5,0,0,0,1,0.615505087650072,0.538833134657312
3546000,11,95,55,114,8,9,7,10,5,6,4,0,0,1,1,102,20,3,12,8,6,6,9,5,6,5,0,0,1,1,0.615505087650072,1.02252665730772
3549000,8,65,40,110,10,10,7,10,4,3,3,0,0,0,1,28,19,1,7,8,9,8,10,4,5,4,0,0,0,1,-1.38946999573772,-1.08296279422934
3555000,12,90,85,161,8,9,4,10,4,4,3,0,0,1,1,113,26,4,15,9,9,8,10,4,4,3,0,0,1,1,1.283830115446,1.33550481902268
3558000,10,65,45,110,8,10,10,6,4,2,3,0,0,1,1,45,26,4,9,10,9,10,9,4,2,2,0,0,1,1,-0.0528199401458571,-0.599269271578936
3564000,8,70,65,121,7,7,8,8,3,4,2,1,0,1,1,50,28,3,6,7,8,9,7,3,4,3,1,0,1,1,-1.38946999573772,-0.457006470799405
3576000,9,70,65,121,8,10,7,10,5,6,4,0,0,1,1,28,27,2,11,8,8,7,9,5,6,3,0,0,1,1,-0.721144967941786,-1.08296279422934
3584000,8,45,65,99,10,10,7,9,4,2,1,0,0,0,1,45,25,3,10,10,9,6,9,4,2,2,0,0,0,1,-1.38946999573772,-0.599269271578936
3585000,11,90,45,117,9,10,8,9,6,5,4,0,0,1,1,46,23,3,14,10,9,10,10,6,5,4,0,0,1,1,0.615505087650072,-0.570816711423029
